# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-07-13 22:30:42 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 03287500 KENTUCKY RIVER AT LOCK 4 AT FRANKFORT, KY
# -----------------------------------------------------------------------------------
#
# Data provided for site 03287500
#    DD parameter   Description
#    01   00010     Temperature, water, degrees Celsius
#    02   00060     Discharge, cubic feet per second
#    07   00065     Gage height, feet
#    22   00045     Precipitation, total, inches
#
# Data-value qualification codes included in this output:
#     P  Provisional data subject to revision.
#
agency_cd	site_no	datetime	tz_cd	01_00010	01_00010_cd	02_00060	02_00060_cd	07_00065	07_00065_cd	22_00045	22_00045_cd
5s	15s	20d	6s	14n	10s	14n	10s	14n	10s	14n	10s
USGS	03287500	2016-07-06 00:00	EDT	27.0	P	4570	P	8.45	P	0.00	P
USGS	03287500	2016-07-06 00:15	EDT	27.0	P	4570	P	8.45	P	0.00	P
USGS	03287500	2016-07-06 00:30	EDT	27.0	P	4570	P	8.45	P	0.00	P
USGS	03287500	2016-07-06 00:45	EDT	27.0	P	4570	P	8.45	P	0.00	P
USGS	03287500	2016-07-06 01:00	EDT	27.0	P	4570	P	8.45	P	0.00	P
USGS	03287500	2016-07-06 01:15	EDT	27.0	P	4570	P	8.45	P	0.00	P
USGS	03287500	2016-07-06 01:30	EDT	27.0	P	4570	P	8.45	P	0.00	P
USGS	03287500	2016-07-06 01:45	EDT	27.0	P	4570	P	8.45	P	0.00	P
USGS	03287500	2016-07-06 02:00	EDT	27.0	P	4570	P	8.45	P	0.00	P
USGS	03287500	2016-07-06 02:15	EDT	27.0	P	4540	P	8.44	P	0.00	P
USGS	03287500	2016-07-06 02:30	EDT	27.0	P	4540	P	8.44	P	0.00	P
USGS	03287500	2016-07-06 02:45	EDT	26.9	P	4540	P	8.44	P	0.00	P
USGS	03287500	2016-07-06 03:00	EDT	26.9	P	4540	P	8.44	P	0.00	P
USGS	03287500	2016-07-06 03:15	EDT	26.9	P	4540	P	8.44	P	0.00	P
USGS	03287500	2016-07-06 03:30	EDT	26.9	P	4500	P	8.43	P	0.00	P
USGS	03287500	2016-07-06 03:45	EDT	26.9	P	4500	P	8.43	P	0.00	P
USGS	03287500	2016-07-06 04:00	EDT	26.9	P	4470	P	8.42	P	0.00	P
USGS	03287500	2016-07-06 04:15	EDT	26.9	P	4470	P	8.42	P	0.00	P
USGS	03287500	2016-07-06 04:30	EDT	26.9	P	4470	P	8.42	P	0.00	P
USGS	03287500	2016-07-06 04:45	EDT	26.9	P	4430	P	8.41	P	0.00	P
USGS	03287500	2016-07-06 05:00	EDT	26.9	P	4430	P	8.41	P	0.00	P
USGS	03287500	2016-07-06 05:15	EDT	26.9	P	4430	P	8.41	P	0.00	P
USGS	03287500	2016-07-06 05:30	EDT	27.0	P	4400	P	8.40	P	0.00	P
USGS	03287500	2016-07-06 05:45	EDT	27.0	P	4370	P	8.39	P	0.00	P
USGS	03287500	2016-07-06 06:00	EDT	27.0	P	4370	P	8.39	P	0.00	P
USGS	03287500	2016-07-06 06:15	EDT	27.0	P	4330	P	8.38	P	0.00	P
USGS	03287500	2016-07-06 06:30	EDT	27.0	P	4330	P	8.38	P	0.00	P
